Sample_name	Weight
DTXSID8040725	1.0
DTXSID8041379	1.0
DTXSID8041248	1.0
DTXSID8041242	1.0
DTXSID8042264	1.0
DTXSID8042260	1.0
DTXSID8044200	1.0
DTXSID8044337	1.0
DTXSID8044549	1.0
DTXSID8044545	1.0
DTXSID8044913	1.0
DTXSID8044915	1.0
DTXSID8047183	1.0
DTXSID8047347	1.0
DTXSID8047349	1.0
DTXSID8047476	1.0
DTXSID9020112	1.0
DTXSID9020114	1.0
DTXSID9020293	1.0
DTXSID9020299	1.0
DTXSID9020372	1.0
DTXSID9020374	1.0
DTXSID9020453	1.0
DTXSID9020407	1.0
DTXSID9020740	1.0
DTXSID9020827	1.0
DTXSID9021342	1.0
DTXSID9021390	1.0
DTXSID9021554	1.0
DTXSID9022360	1.0
DTXSID9022310	1.0
DTXSID9022366	1.0
DTXSID9022607	1.0
DTXSID9024431	1.0
DTXSID9024772	1.0
DTXSID9024691	1.0
DTXSID9025110	1.0
DTXSID9024986	1.0
DTXSID9025401	1.0
DTXSID9026261	1.0
DTXSID9026265	1.0
DTXSID9026500	1.0
DTXSID9027314	1.0
DTXSID9027360	1.0
DTXSID9029146	1.0
DTXSID9029649	1.0
DTXSID9032329	1.0
DTXSID9032531	1.0
DTXSID9032327	1.0
DTXSID9032537	1.0
DTXSID9032589	1.0
DTXSID9033187	1.0
DTXSID9034573	1.0
DTXSID9034816	1.0
DTXSID9034818	1.0
DTXSID9036690	1.0
DTXSID9037749	1.0
DTXSID9037539	1.0
DTXSID9040265	1.0
DTXSID9040001	1.0
DTXSID9040716	1.0
DTXSID9041289	1.0
DTXSID9042124	1.0
DTXSID9042203	1.0
DTXSID9042209	1.0
DTXSID9044615	1.0
DTXSID9044613	1.0
DTXSID9044796	1.0
DTXSID9044825	1.0
DTXSID9044950	1.0
DTXSID9047257	1.0
DTXSID9047253	1.0
DTXSID9047338	1.0
DTXSID9047540	1.0
DTXSID9047542	1.0
DTXSID9047598	1.0
DTXSID9048510	1.0
DTXSID9048194	1.0
DTXSID9048196	1.0
DTXSID9048518	1.0
DTXSID9048514	1.0
